Start concentration,Episode,Aeration_Time,Post_Aeration_Concentration,Input concentration,Reward,Average_predict_concentration
2.536558150022617,277,329,1.0816258956757738,36.0,9.130102157592773,tensor(1.0870)
2.536558150022617,278,329,1.0816258956757738,36.0,9.124874114990234,tensor(1.0875)
2.536558150022617,279,329,1.0816258956757738,36.0,9.119808197021484,tensor(1.0880)
2.536558150022617,280,329,1.0816258956757738,36.0,9.114903450012207,tensor(1.0885)
2.536558150022617,281,329,1.0816258956757738,36.0,9.166473388671875,tensor(1.0834)
2.536558150022617,282,329,1.0816258956757738,36.0,9.160901069641113,tensor(1.0839)
2.536558150022617,283,329,1.0816258956757738,36.0,9.155665397644043,tensor(1.0844)
2.536558150022617,284,329,1.0816258956757738,36.0,9.150595664978027,tensor(1.0849)
2.536558150022617,285,329,1.0816258956757738,36.0,9.145665168762207,tensor(1.0854)
2.536558150022617,286,329,1.0816258956757738,36.0,9.14087963104248,tensor(1.0859)
2.536558150022617,287,329,1.0816258956757738,36.0,9.13622760772705,tensor(1.0864)
2.536558150022617,288,329,1.0816258956757738,36.0,9.131698608398438,tensor(1.0868)
2.536558150022617,289,329,1.0816258956757738,36.0,9.127315521240234,tensor(1.0873)
2.536558150022617,290,329,1.0816258956757738,36.0,9.12306022644043,tensor(1.0877)
2.536558150022617,291,329,1.0816258956757738,36.0,9.168701171875,tensor(1.0831)
2.536558150022617,292,329,1.0816258956757738,36.0,9.16380500793457,tensor(1.0836)
2.536558150022617,293,329,1.0816258956757738,36.0,9.159053802490234,tensor(1.0841)
2.536558150022617,294,329,1.0816258956757738,36.0,9.15442180633545,tensor(1.0846)
2.536558150022617,295,329,1.0816258956757738,36.0,9.149938583374023,tensor(1.0850)
2.536558150022617,296,329,1.0816258956757738,36.0,9.14557933807373,tensor(1.0854)
2.536558150022617,297,329,1.0816258956757738,36.0,9.141349792480469,tensor(1.0859)
2.536558150022617,298,329,1.0816258956757738,36.0,9.137249946594238,tensor(1.0863)
2.536558150022617,299,329,1.0816258956757738,36.0,9.133264541625977,tensor(1.0867)
2.661558150022617,300,329,1.1349277436772738,39.0,8.962794303894043,tensor(1.1037)
2.7126390876907207,301,329,1.1567094106801488,39.0,8.69995403289795,tensor(1.1300)
2.7335131852351426,302,329,1.1656104344759988,39.0,8.656594276428223,tensor(1.1343)
2.742043333039499,303,329,1.1692478156095838,39.0,8.619067192077637,tensor(1.1381)
2.7455291566258513,304,329,1.1707342223212622,39.0,8.604166984558105,tensor(1.1396)
2.746953629724543,305,329,1.1713416387099718,39.0,8.59476089477539,tensor(1.1405)
2.7475357370970563,306,329,1.1715898578994939,39.0,8.585488319396973,tensor(1.1415)
2.7477736138203483,307,329,1.171691292051078,39.0,8.576383590698242,tensor(1.1424)
2.7478708215489496,308,329,1.1717327428636737,39.0,8.56747055053711,tensor(1.1433)
2.7479105452443537,309,329,1.1717496816346695,39.0,8.558743476867676,tensor(1.1441)
2.747926778233225,310,329,1.1717566036211131,39.0,8.550182342529297,tensor(1.1450)
2.747933411803567,311,329,1.1717594322735776,39.0,8.326444625854492,tensor(1.1674)
